Scheme	number of apps	Apps
com.apple.springboard.showsBadgesInAppLibrary	1	
com.apple.private.can-load-any-content-blocker	1	
keychain-cloud-circle	1	
com.apple.private.cloudkit.displaysSystemAcceptPrompt	1	
com.apple.icloud.searchpartyd.scheduler.access	1	
com.apple.SensorKit.effective-bundle	1	
com.apple.private.timezoneupdates.tzd.access	1	
com.apple.wipedevice	1	
com.apple.CoreRoutine.CloudSync	1	
com.apple.UIKit.status-bar-override-allow	1	
com.apple.private.donotdisturb.mode.assertion.client-identifiers	1	
com.apple.private.airdrop.settings	1	
com.apple.private.hid.client.event-filter	1	
com.apple.cdp.recoverykey	1	
com.apple.private.screen-time.persistence	1	
com.apple.private.mobilemail.mail-recipient-vetting	1	
com.apple.private.hid.manager.client	1	
com.apple.icloud.searchpartyd.settings.read	1	
com.apple.private.security.storage.Safari	1	
com.apple.private.ckks	1	
com.apple.symptom_analytics.reset	1	
com.apple.awdd.manager-access	1	
com.apple.imagent	1	
com.apple.MobileInternetSharing.allow	1	
com.apple.private.icloudinboxd.client	1	
com.apple.private.iad.open-privacy-view-controller	1	
com.apple.private.carkit.dnd	1	
com.apple.private.associated-domains	1	
com.apple.coreduetd.batterysaver.allow	1	
com.apple.callkit	1	
com.apple.mkb.usersession.loginwindow	1	
com.apple.springboard.lowDensityIconLayout	1	
com.apple.springboard.wipedevice	1	
com.apple.springboard.presentPowerDownUI	1	
com.apple.private.networkextension.configuration	1	
com.apple.private.safari.offlinereadinglist	1	
com.apple.sh	1	
com.apple.private.ids.phone-number-authentication	1	
com.apple.springboard.setCarPlayIconOrder	1	
com.apple.private.sensorkit.pruner.power	1	
com.apple.private.wifivelocity	1	
com.apple.icloud.searchpartyd.settings.write	1	
com.apple.identitylookup.classification-ui.extension-host	1	
com.apple.private.subscriptionservice.web-sources.read-write	1	
com.apple.studentd-access	1	
com.apple.private.domain-extension	1	
com.apple.private.calendar.daemon.access-level.internal	1	
com.apple.authentication-services.coordinate-account-authentication-modification	1	
com.apple.springboard.addsNewIconsToHomeScreen	1	
com.apple.launchservices.clearadvertisingid	1	
com.apple.private.CarPlayServices.icon-layout	1	
com.apple.remotenotification.preferences	1	
com.apple.QuartzCore.debug	1	
com.apple.private.healthkit.obliteration	1	
com.apple.keystore.stash.access	1	
com.apple.purplebuddy.budd.access	1	
com.apple.private.sensorkit.reader.wildcard.allow	1	
com.apple.private.mis.trust.set	1	
com.apple.private.mis.online_auth_agent	1	
com.apple.nvram.boot-args-set-allow	1	
com.apple.security.system-container	1	
com.apple.keystore.device.verify	1	
com.apple.USBCEntitlement	1	
com.apple.authkit.writer.internal	1	
auth-key-vault-client	1	
com.apple.sharing.BluetoothUserInteraction	1	
com.apple.private.dmd.emergency-mode	1	
com.apple.private.launchservices.changedefaulthandlers	1	
com.apple.identitylookup.message-filter.extension-host	1	
com.apple.springboard.resetHomeScreenLayout	1	
com.apple.private.MobileContainerManager.allowed	1	
com.apple.PairingManager.DeleteIdentity	1	
com.apple.keystore.auth-token	1	
com.apple.private.SensorKit.prerequisite.readwrite	1	
com.apple.private.trust-defaults-kvstore-identifier	1	
com.apple.icloud.searchpartyd.advertisementcache.read	1	
com.apple.locationd.defaults_access	1	
com.apple.private.ubiquity-kvstore-access	1	
com.apple.sharing.Services	1	
com.apple.networkd.set_account_identifier	1	
com.apple.keyboardservices.textreplacement.allow	1	
com.apple.private.donotdisturb.settings.modify.client-identifiers	1	
com.apple.private.system-keychain	1	
com.apple.private.corewifi.internal	1	
com.apple.private.Safari.History	1	
com.apple.appstored.demote-apps	1	
com.apple.authentication-services.access-credential-identities	1	
com.apple.private.donotdisturb.mode.assertion.user-requested.client-identifiers	1	
com.apple.geoservices.mapdata.load	1	
com.apple.private.iokit.batterydata	1	
com.apple.networkd.modify_settings	1	
com.apple.private.lockdown.reset-pairing	1	
com.apple.private.LocalAuthentication.CallerName	1	
com.apple.private.donotdisturb.settings.updates.client-identifiers	1	
com.apple.DiagnosticsSessionAvailability.client	1	
com.apple.siriknowledged	1	
com.apple.nfcd.radio.powertoggle	1	
com.apple.private.remotemanagement.configuration-subscriber	1	
com.apple.ci	1	
com.apple.private.Photos.CPLDiagnose	1	
com.apple.private.clouddocs.account-access	1	
com.apple.private.accounts.bundleidspoofing	1	
com.apple.private.sensorkit.firstRunOnboarding.allow	1	
com.apple.security.iokit-user-client-class	1	
com.apple.matd.client	1	
com.apple.tzlink.allow	1	
com.apple.logd.admin	1	
com.apple.businesschatd.cache	1	
com.apple.private.usage-tracking	1	
com.apple.multitasking.termination	1	
com.apple.CoreTelephony.CommCenterHelper.allow	1	
com.apple.bulletinboard.observer	1	
com.apple.rootless.datavault.metadata	1	
com.apple.imdpersistence.IMDPersistenceAgent-StorageManagement	1	
com.apple.frontboard.delete-application-snapshots	1	
com.apple.private.carkit	1	
modify-anchor-certificates	1	
com.apple.private.Safari.PasswordBreachHelper	1	
com.apple.tailspin.config-apply	1	
com.apple.private.nlcd-control	1	
com.apple.ane.iokit-user-access	1	
com.apple.aned.private.allow	1	
com.apple.screenshotservices.ssuiservice.showscreenshotui	1	
com.apple.pearl.iokit-user-access	1	
com.apple.private.replay-kit	1	
com.apple.camera.iokit-user-access	1	
com.apple.developer.carplay-protocols	1	
